05-09-2024 	 01:57:22 	 6110a953-e9e6-445f-a1aa-2d5896af5e30 	 GET	undefined	/ 
05-09-2024 	 01:57:22 	 09d1db33-5301-43b3-a4e4-c8faae150029 	 GET	undefined	/css/style.css 
05-09-2024 	 01:57:22 	 b9e6b9a7-3718-4ade-bbdd-3e91fd43358a 	 GET	undefined	/favicon.ico 
05-09-2024 	 01:58:23 	 241f2ee2-3b57-40ea-bd89-f49ca34aafa0 	 GET	undefined	/ 
05-09-2024 	 01:58:23 	 41926896-98f0-4f82-9a13-f6d5a537a4bd 	 GET	undefined	/css/style.css 
05-09-2024 	 01:59:44 	 b93b933a-bb5f-4b7e-8d15-c37a80757fee 	 GET	undefined	/css/style.css 
05-09-2024 	 02:00:42 	 c602dc1b-ab9b-46e0-8a54-cff934a9b231 	 GET	undefined	/ 
05-09-2024 	 02:00:42 	 9500a7c8-304e-45d2-a26c-ff8de19a74d0 	 GET	undefined	/css/style.css 
05-09-2024 	 02:01:06 	 35dc7eba-f91e-4563-946d-32792247c8df 	 GET	undefined	/css/style.css 
05-09-2024 	 02:02:23 	 97676b7f-6fd5-4b34-9e60-66cb2cfc65ca 	 GET	undefined	/ 
05-09-2024 	 02:02:23 	 3fa7e2e2-14b0-4a05-b869-611720433f7b 	 GET	undefined	/css/style.css 
05-09-2024 	 02:05:31 	 785f1dd3-a51b-406d-8aeb-06d038f8ca52 	 GET	undefined	/ 
05-09-2024 	 02:05:31 	 0d51e6e4-2c4f-4734-8296-d41fbbabd623 	 GET	undefined	/css/style.css 
05-09-2024 	 02:06:54 	 98b79ba6-eec0-41df-9d4c-2e504375d60f 	 GET	undefined	/ 
05-09-2024 	 02:06:54 	 3af5711e-34aa-4d50-9825-02fadf47bc01 	 GET	undefined	/css/style.css 
05-09-2024 	 02:07:33 	 6bcaf344-5cba-42df-80b7-a391c68eb260 	 GET	undefined	/ 
05-09-2024 	 02:07:33 	 7384e67c-7e46-4820-bc00-c88f311d6232 	 GET	undefined	/css/style.css 
05-09-2024 	 02:07:48 	 b9cccc69-4832-4ec4-b947-e4b262810a79 	 GET	undefined	/ 
05-09-2024 	 02:07:49 	 d0cccc36-83b1-4641-bfaf-1a591291adf9 	 GET	undefined	/css/style.css 
05-09-2024 	 02:07:50 	 aa2ac03c-f860-46d3-8f5e-3e9303e06e8e 	 GET	undefined	/ 
05-09-2024 	 02:07:50 	 d04c2adb-3093-4fab-b99d-c087f52b0f19 	 GET	undefined	/css/style.css 
05-09-2024 	 02:08:19 	 01c621d9-42df-4dc5-b4be-22a7aaf2c6f5 	 GET	undefined	/states 
05-09-2024 	 02:10:02 	 8d75a17d-5b36-4ab7-bb7d-959b7e074ec1 	 GET	undefined	/states/ 
05-09-2024 	 02:15:24 	 d667b499-d15f-4e2f-9719-a5464aceed29 	 GET	undefined	/favicon.ico 
05-09-2024 	 02:55:25 	 ae746bb5-3d25-40b1-9742-9e1eaa5245ee 	 GET	undefined	/states/ 
05-09-2024 	 02:59:19 	 412e28fb-3a6b-4d63-9bbe-bbbabc929f2d 	 GET	undefined	/states/ 
05-09-2024 	 03:00:27 	 78625820-8f94-427a-84bb-4037682e30a3 	 GET	undefined	/states/ 
05-09-2024 	 03:00:44 	 e2b0b0ea-8a7f-4203-aa8d-c95137c3e720 	 GET	undefined	/states/ 
05-09-2024 	 03:00:57 	 dae3329b-aacd-40e6-9d19-459972a9b859 	 GET	undefined	/states/ 
05-09-2024 	 03:01:32 	 670f8e68-3817-4709-bb9a-dafb723b2c0f 	 GET	undefined	/states/ 
05-09-2024 	 03:01:49 	 46522ebd-6747-43c9-99aa-2d7960260bcc 	 GET	undefined	/states/ 
05-09-2024 	 03:03:22 	 c271b0c3-0455-431c-bddb-de730fc13f1b 	 GET	undefined	/states/ 
05-09-2024 	 03:03:24 	 e07693db-0db7-449c-80b4-2dfae748b7c9 	 GET	undefined	/states/ 
05-09-2024 	 03:03:47 	 84692dec-6f1b-46fa-bf36-89f3ef969926 	 GET	undefined	/states/ 
05-09-2024 	 03:03:48 	 c2435bce-81b7-481d-9a00-3043af9b7793 	 GET	undefined	/states/ 
05-09-2024 	 03:03:48 	 e31d8f40-5f3b-48dd-af16-fb5fa27a572a 	 GET	undefined	/states/ 
05-09-2024 	 03:03:48 	 cf0f1c64-7255-4628-bf3f-97a4fcef8aa1 	 GET	undefined	/states/ 
05-09-2024 	 03:03:48 	 82fa272b-3903-4182-8535-46a4479d566f 	 GET	undefined	/states/ 
05-09-2024 	 03:03:52 	 0cafb0f8-aff9-4ec9-8449-5e62a24a526a 	 GET	undefined	/states 
05-09-2024 	 03:05:28 	 8d29efca-1c75-48d0-be6f-0265badb3467 	 GET	undefined	/ 
05-09-2024 	 03:05:28 	 c2c94a33-e114-4b73-b389-5c38562a55ac 	 GET	undefined	/css/style.css 
05-09-2024 	 03:05:31 	 a9319d17-919c-4fdc-9cc0-17abf1cc98a0 	 GET	undefined	/states 
05-09-2024 	 03:09:26 	 0c6127fd-660f-4230-9d52-b216a7d4fa97 	 GET	undefined	/ 
05-09-2024 	 03:09:27 	 0a6e33eb-1604-4eaa-b40d-5fe5796f8f7e 	 GET	undefined	/css/style.css 
05-09-2024 	 03:09:29 	 d3a8521c-27cf-4b7b-be88-2c8cbb528ae6 	 GET	undefined	/states 
05-09-2024 	 03:10:17 	 a26d21c6-181c-425b-95b4-0d412bc157ff 	 GET	undefined	/states/AL 
05-09-2024 	 03:10:22 	 887e2a88-032b-41d5-87bd-0cba43746436 	 GET	undefined	/states/CA 
05-09-2024 	 03:10:24 	 c00e2e71-80de-40ea-b99e-77820c09c79e 	 GET	undefined	/states/TX 
05-09-2024 	 03:22:21 	 1cf3f33f-c09c-491e-823c-d20fc599bc84 	 GET	undefined	/states/TX 
05-09-2024 	 03:22:24 	 8c3cbf53-51cb-48b6-a954-8e5e5f6a8474 	 GET	undefined	/states 
05-09-2024 	 03:22:30 	 4ee8e873-fa26-4623-8450-ef6e0d55206d 	 GET	undefined	/states 
05-09-2024 	 03:28:31 	 bbdc8816-7e33-4be6-b502-73ec266c5606 	 GET	undefined	/states 
05-09-2024 	 03:28:40 	 601da466-ad9e-4071-b833-7a0b849ef92f 	 GET	undefined	/states 
05-09-2024 	 03:40:19 	 f4b34ae0-6488-47a6-a0d5-fe21c765ef05 	 GET	undefined	/states 
05-09-2024 	 03:40:21 	 ecbc307e-a346-4951-a932-89488505485d 	 GET	undefined	/states 
